fbTrue1,fbTrue2,fbTrue3,fbTrue4,fbTrue5,fbTrue6,fbTrue7,fbTrue8,fbTrue9,fbTrue10,fbTrue11,fbTrue12,fbTrue13,fbTrue14,fbTrue15,fbTrue16,fbTrue17,fbTrue18,fbTrue19,fbTrue20,fbTrue21,fbTrue22,fbTrue23,fbTrue24,fbTrue25,fbTrue26,fbTrue27,fbTrue28,fbTrue29,fbTrue30,fbTrue31,fbTrue32,fbTrue33,fbTrue34,fbTrue35,fbTrue36,fbTrue37,fbTrue38,fbTrue39,fbTrue40,fbTrue41,fbTrue42,fbTrue43,fbTrue44,fbTrue45,fbTrue46,fbTrue47,fbTrue48,fbTrue49,fbTrue50,fbTrue51,fbTrue52,fbTrue53,fbTrue54,fbTrue55,fbTrue56,fbTrue57,fbTrue58,fbTrue59,fbTrue60,fbTrue61,fbTrue62,fbTrue63,fbTrue64,fbTrue65,fbTrue66,fbTrue67,fbTrue68,fbTrue69,fbTrue70,fbTrue71,fbTrue72
0.1374421,-0.27139473,0.981563,0.14280431,-0.31608707,0.8909286,0.12488936,-0.21136808,0.89371085,0.19872984,-0.27710977,1.095171,0.04793997,-0.35830042,0.52227044,0.027375005,-0.12862988,0.53781277,0.1493291,-0.30488902,1.2332028,0.12997082,-0.23785707,0.14118463,0.17538139,-0.14297225,0.16322207,0.13797528,-0.30938265,1.29053,0.017360114,-0.2861481,0.07056242,0.08165749,-0.14482935,0.048850358,0.12567508,-0.3096958,1.4977667,0.12647332,-0.38298815,1.3951874,0.14164834,-0.23871195,1.4089321,0.05750192,-0.32282108,1.5655854,0.14363675,-0.5005838,1.4294503,0.16194355,-0.13249235,1.4522119,0.10638157,-0.731454,1.3550303,0.21626016,0.07184187,1.3216438,-0.08380404,-0.8588991,1.4592459,0.11932709,0.28825742,1.2195464,-0.16784146,-0.86614424,1.5244865,-0.18999764,-0.8712135,1.5480614
0.15082523,-0.26767084,0.96016973,0.15754189,-0.31228122,0.8695853,0.13247205,-0.20904188,0.8723941,0.21451609,-0.26863366,1.0725894,0.044557177,-0.33374795,0.50425845,0.0472254,-0.1442293,0.5096953,0.16615687,-0.29689956,1.210891,0.08681765,-0.20351475,0.11992079,0.19773535,-0.1345496,0.1359536,0.15548567,-0.29997215,1.2684426,-0.043408215,-0.23833013,0.07714456,0.09976296,-0.13443871,0.025184035,0.14345744,-0.2934267,1.4755921,0.1476487,-0.3702355,1.3757035,0.15590478,-0.22499762,1.384225,0.077423416,-0.3061017,1.5455784,0.16572347,-0.48691666,1.4125285,0.16904232,-0.115428664,1.4215035,0.12279636,-0.71838593,1.3431994,0.2098824,0.08183288,1.2760017,-0.07039459,-0.83963144,1.4492676,0.09250784,0.2880102,1.17417,-0.1541095,-0.84324926,1.5152211,-0.1762443,-0.84730625,1.539011
0.16483538,-0.25648877,0.90282327,0.17103215,-0.301234,0.81226826,0.14207023,-0.19902489,0.8153109,0.23127142,-0.25446725,1.0136285,0.01447849,-0.31542158,0.46301228,0.06350436,-0.15802634,0.44766343,0.18396658,-0.28598562,1.1515913,0.07962626,-0.20452413,0.075817764,0.23600337,-0.12744017,0.08470565,0.17555028,-0.28872672,1.2095324,-0.060234085,-0.21733695,0.05921632,0.10477676,-0.13611887,0.017083466,0.16200115,-0.27957204,1.416489,0.1694447,-0.35764304,1.3177752,0.17267695,-0.21209854,1.3241917,0.10152391,-0.29005277,1.491668,0.190641,-0.47289142,1.3573453,0.18562776,-0.1016914,1.3589793,0.14061007,-0.705096,1.2956588,0.20216933,0.09362862,1.2062467,-0.058758378,-0.828077,1.3873191,0.06843669,0.28087088,1.0891507,-0.14187256,-0.8315321,1.4540365,-0.16393664,-0.8359143,1.4778343
0.19098641,-0.2492735,0.85759234,0.19259533,-0.29101035,0.7654176,0.16309807,-0.1892188,0.7733638,0.26330918,-0.25023475,0.96466297,-0.025546,-0.31526327,0.45154458,0.033191547,-0.16020517,0.41938552,0.20843056,-0.2833031,1.099421,0.09541644,-0.20879187,0.076719284,0.23680614,-0.12270123,0.07360476,0.19805112,-0.28499365,1.1570832,-0.045201838,-0.21137463,0.061869144,0.104072586,-0.12929288,0.008744419,0.17782986,-0.27049035,1.363188,0.18988046,-0.3510504,1.2669603,0.19009438,-0.20534968,1.2694238,0.12219648,-0.27809054,1.4423485,0.20877656,-0.4659326,1.3087009,0.19655465,-0.09282676,1.2988262,0.15704986,-0.6980549,1.2481132,0.19841996,0.10591284,1.1496623,-0.04527399,-0.827159,1.3234185,0.061610788,0.29668903,1.0422226,-0.13172379,-0.8343729,1.3854306,-0.15496546,-0.84005713,1.4077888
0.21874054,-0.25364158,0.84569895,0.21948878,-0.29415515,0.752969,0.18954548,-0.1926398,0.76260144,0.29232007,-0.25561246,0.9518959,-0.030884013,-0.33031106,0.4653994,0.040483534,-0.15752794,0.41681856,0.23430666,-0.2917587,1.0845337,0.13378772,-0.2396849,0.10327768,0.23817421,-0.11943341,0.067681074,0.22306877,-0.29338244,1.1420367,-0.0051072836,-0.24595276,0.07740128,0.104610786,-0.12706634,0.0046647787,0.2019033,-0.27512002,1.3477476,0.21455464,-0.3574165,1.2530789,0.21444185,-0.21169502,1.2528502,0.14560555,-0.28159416,1.4265375,0.2265161,-0.47254357,1.2966673,0.21557319,-0.09871351,1.2811617,0.16786999,-0.70657516,1.2517544,0.2121626,0.11507357,1.1545353,-0.032390267,-0.8446713,1.3157778,0.07774185,0.322068,1.0787729,-0.12058073,-0.8583624,1.3741398,-0.1442639,-0.8658343,1.3954856
0.24507281,-0.2711308,0.86649966,0.24344744,-0.3132231,0.77448696,0.22101939,-0.20962197,0.7821382,0.31759357,-0.27664235,0.97329843,0.0068917423,-0.36264092,0.47735173,0.06980254,-0.1560208,0.43967873,0.25975618,-0.30688047,1.1074827,0.2292295,-0.30730984,0.13976264,0.23600027,-0.12383106,0.07393038,0.2483725,-0.30817,1.1649653,0.100352556,-0.31017575,0.08159721,0.104067996,-0.12779798,0.007247269,0.22938713,-0.29094088,1.3709779,0.23800787,-0.37281597,1.2754946,0.24385878,-0.22721566,1.2765579,0.1732971,-0.29678527,1.449965,0.24530628,-0.48810676,1.3196764,0.24646135,-0.11587122,1.3106649,0.18813917,-0.7247617,1.2887954,0.25096634,0.11203316,1.21172,-0.0049933344,-0.866706,1.3651195,0.120253935,0.33081448,1.1704338,-0.087699965,-0.8847678,1.4299616,-0.10931896,-0.8935054,1.4529538
0.2774529,-0.3007339,0.91081125,0.27603167,-0.3462583,0.8204439,0.2633425,-0.24077646,0.8231485,0.344105,-0.30863297,1.0212228,0.08998643,-0.41284803,0.49235386,0.13303559,-0.15141046,0.47956157,0.29004484,-0.3310191,1.1584864,0.34525114,-0.39561653,0.17454094,0.2312438,-0.13642605,0.08897179,0.27896056,-0.3315091,1.2160399,0.23044658,-0.39442468,0.091962576,0.10300405,-0.1346776,0.015351057,0.2636719,-0.3137803,1.4223174,0.2663962,-0.39575824,1.3265724,0.28049448,-0.25072566,1.327837,0.2064242,-0.3186139,1.5005386,0.2722212,-0.5112968,1.3703237,0.2917463,-0.1401887,1.362803,0.21406025,-0.74813706,1.3429139,0.30719012,0.09495996,1.2839525,0.02724889,-0.8908951,1.4323306,0.18139713,0.32007888,1.2715756,-0.049898,-0.9132592,1.5024686,-0.06957811,-0.92349845,1.5265563
0.31837294,-0.33675778,0.9569518,0.31471592,-0.3854169,0.8682971,0.31566307,-0.27915704,0.86665463,0.37895277,-0.3485335,1.070473,0.20411876,-0.4680902,0.5110528,0.19739118,-0.16402112,0.5263995,0.3282937,-0.36508778,1.2098448,0.45498788,-0.49091935,0.19010794,0.2123641,-0.16449451,0.12365222,0.3163038,-0.36515296,1.2672186,0.35538596,-0.47827017,0.090507984,0.101346076,-0.14645818,0.02764082,0.30396605,-0.3464067,1.4736037,0.3017971,-0.428563,1.3779974,0.32283092,-0.28436977,1.3788357,0.24215461,-0.34997052,1.5483422,0.30552134,-0.5433465,1.4239118,0.3403037,-0.17481983,1.4143484,0.24247918,-0.77817136,1.3905905,0.36533576,0.06458142,1.3526133,0.053124696,-0.9199071,1.4762034,0.24199495,0.29081595,1.3364712,-0.026870579,-0.9421679,1.5431088,-0.047639728,-0.9526484,1.5661559
0.361335959999998,-0.379500699999998,0.9715195,0.355566319999998,-0.430145379999998,0.8840977,0.367537739999997,-0.324636519999998,0.8797033,0.416639539999998,-0.394032479999998,1.08739,0.319372419999994,-0.513467499999998,0.512025800000001,0.259803769999997,-0.198784559999998,0.5397433,0.372467459999998,-0.402388039999998,1.229671,0.536680599999996,-0.584948059999995,0.174194810000002,0.207387699999998,-0.205417039999997,0.14019561,0.359543999999998,-0.401665449999998,1.2868372,0.436871859999996,-0.570313929999995,0.0750749100000015,0.121174839999996,-0.136418760000003,0.0418336399999985,0.348627399999997,-0.383788229999998,1.4933795,0.342462659999998,-0.465105239999998,1.3972313,0.370042899999997,-0.322027979999998,1.3989735,0.282898629999997,-0.385652239999998,1.564762,0.338469899999998,-0.578869459999998,1.4455948,0.384573279999998,-0.213996259999998,1.4400303,0.271589729999998,-0.809612599999998,1.3954754,0.407794059999998,0.0254716130000023,1.3778472,0.0813415049999978,-0.957726299999997,1.4671807,0.280070799999998,0.247030210000003,1.3424336,-0.00689718130000193,-0.979503149999998,1.5229554,-0.0307337640000019,-0.990277599999998,1.5426555
0.407894819999997,-0.417702099999998,0.938488600000003,0.398355719999998,-0.470045119999998,0.852407500000003,0.422884139999997,-0.366877319999998,0.845370770000003,0.458140599999998,-0.434994599999998,1.0562679,0.406890179999997,-0.564335169999997,0.481292070000002,0.296602669999999,-0.22432247,0.518645700000001,0.415334339999998,-0.432254849999998,1.1991841,0.591191799999998,-0.644254799999998,0.126175460000003,0.272404799999995,-0.281338659999996,0.120407820000001,0.403778369999998,-0.431134369999999,1.2566359,0.473945899999999,-0.612562899999999,0.0537205340000004,0.228271709999996,-0.165056909999996,0.0404119500000008,0.393741499999998,-0.415917999999998,1.4634358,0.384410469999998,-0.495510219999998,1.3661069,0.417391899999997,-0.353621129999998,1.36992,0.331013559999997,-0.417239429999999,1.5374808,0.375675859999999,-0.610651399999998,1.4104183,0.428879379999998,-0.246198479999998,1.4134636,0.312385199999998,-0.838187199999998,1.3437173,0.457258499999997,-0.0111567824999981,1.3379598,0.125280559999996,-0.995583899999996,1.4028094,0.309925499999998,0.197439940000002,1.300065,0.0402407939999956,-1.0256139,1.4597089,0.0178999299999953,-1.0382043,1.4800742
